Id	Strong	Transliteration	Gloss	Definition	Category	Domain	References	spell-N	spell-n	spell-E	spell-G	spell-R	spell-T	spell-K	pc-N	pc-n	pc-E	pc-G	pc-R	pc-T	pc-K
יְחִזְקִיָּהוּ-1	H3169	yǝḥizqiyyāhû-1	Jehizkiah	son of Ahaz; king of Judah (716/15-687/86)	PN	person	012020010 013004041 014028027 014029001 014029020 014029030 014029031 014029036 014030001 014030018 014030020 014030022 014031002 014031008 014031009 014031011 014031013 014031020 014032002 014032008 014032009 014032011 014032012 014032016 014032017 014032020 014032022 014032023 014032024 014032025 014032026 014032026 014032027 014032030 014032030 014032032 014032033 014033003 023001001 024015004	Hezekiah	Hezekiah	Hezekiah	Hezekiah	Hezekiah	Hezekiah	Hezekiah	92	92	97	76	97	89	100
יְחִזְקִיָּהוּ-2	H3169	yǝḥizqiyyāhû-2	Jehizkiah	son of Shallum; chief; tribe of Ephraim; time of Ahaz	PN	person	014028012	Jehizkiah	Jehizkiah	Jehizkiah	Jehizkiah	Jehizkiah	Jechizkiah	Jehizkiah	100	100	100	100	100	100	100
יַחְזֵרָה	H3170	yaḥzērāh	Jahzerah	son of Meshullam; ancestor of Maasai (Amashsai), priest	PN	person	013009012	Jahzerah	Jahzerah	Jahzerah	Jahzerah	Jahzerah	Jahzerah	Jahzerah	100	100	100	100	100	100	100
יְחִיאֵל-1	H3171	yǝḥîʾēl-1	Jehiel	Levite; time of king David	PN	person	013015018 013015020 013016005	Jehiel	Jehiel	Jehiel	Jehiel	Jehiel	Jehiel	Jehiel	100	100	100	100	100	100	100
יְחִיאֵל-2	H3171	yǝḥîʾēl-2	Jehiel	son of Ladan; Levite; time of king David	PN	person	013023008 013029008	Jehiel	Jehiel	Jehiel	Jehiel	Jehiel	Jehiel	Jehiel	100	100	100	100	100	100	100
יְחִיאֵל-3	H3171	yǝḥîʾēl-3	Jehiel	son of Hachmoni; official; time of king David	PN	person	013027032	Jehiel	Jehiel	Jehiel	Jehiel	Jehiel	Jehiel	Jehiel	100	100	100	100	100	100	100
יְחִיאֵל-4	H3171	yǝḥîʾēl-4	Jehiel	son of king Jehoshaphat	PN	person	014021002	Jehiel	Jehiel	Jehiel	Jehiel	Jehiel	Jechiel	Jehiel	100	100	100	100	100	100	100
יְחִיאֵל-5	H3171	yǝḥîʾēl-5	Jehiel	Levite; time of king Hezekiah	PN	person	014029014 014029014 014031013	Jehiel	Jehiel	Jehiel	Jehiel	Jehiel	Jehiel	Jehiel	100	100	50	50	50	100	100
יְחִיאֵל-6	H3171	yǝḥîʾēl-6	Jehiel	Levite; time of king Josiah	PN	person	014035008	Jehiel	Jehiel	Jehiel	Jehielgave	Jehiel	Jehiel	Jehiel	100	100	100	100	100	100	100
יְחִיאֵל-7	H3171	yǝḥîʾēl-7	Jehiel	various men; after exile	PN	person	015008009 015010002 015010021 015010026	Jehiel	Jehiel	Jehiel	Jehiel	Jehiel	Jehiel	Jehiel	100	100	100	100	100	100	100
יְחִיאֵלִי	H3172	yǝḥîʾēliy	Jehieli	son of Ladan; Levite; time of king David	PN	person	013026021 013026022	Jehieli	Jehieli	Jehieli	Jehiel	Jehieli	Jehieli	Jehieli	100	100	100	50	100	100	100
יְחִיָּה	H3174	yǝḥiyyāh	Jehiah	gatekeeper for the ark; time of king David	PN	person	013015024	Jehiah	Jehiah	Jehiah	Jehiah	Jehiah	Jehiel	Jehiah	100	100	100	100	100	100	100
יַחְלְאֵל	H3177	yaḥlǝʾēl	Jahleel	son of Zebulun	PN	person	001046014 004026026	Jahleel	Jahleel	Jahleel	Jahleel	Jahleel	Jahleel	Jahleel	100	100	100	100	100	100	100
יַחְלְאֵלִי	H3178	yaḥlǝʾēliy	Jahleelite	descendant of Jahleel, son of Zebulun	PN	group	004026026	Jahleelite	Jahleelite	Jahleelites	Jahleel	Jahleelites	Jahleelites	Jahleelites	100	100	100	100	100	100	100
יַחְמוּר	H3180	yaḥmûr	bubal hartebeest or roe deer	Bubal or Red Hartebeest (Alcelaphus buselaphus): large antelope about 1.5 m high at the shoulder; males and females have long faces with a large lump on the head from which sprout short thick horns that curve upward and forward for half their length and then angle sharply backwards; reddish brown in color; plains animal, grazing in herds; or, Roe Deer (Capreolus capreolus): small deer; adult male has short horns that have three prongs; fur is brownish in summer and gray in winter; lives singly or in pairs in the undergrowth of forests and thick woodland, never moving more than one or two m from cover	FA	mammals	005014005 011004023	roe deer	roe deer	the deer	deer		the deer	fallow deer	50	50	50	100	0	50	100
יַחְמַי	H3181	yaḥmay	Yahmai	son of Tola; tribe of Issachar	PN	person	013007002	Jahmai	Jahmai	Jahmai	Jahmai	Jahmai	Jahmai	Jahmai	100	100	100	100	100	100	100
יַחְצְאֵל	H3183	yaḥṣǝʾēl	Jahzeel	son of Naphtali	PN	person	001046024 004026048	Jahzeel	Jahzeel	Jahzeel	Jahzeel	Jahzeel	Jahzeel	Jahzeel	50	50	100	100	100	50	100
יַחְצְאֵלִי	H3184	yaḥṣǝʾēliy	Jahzeelite	descendant of Jahzeel, son of Naphtali	PN	group	004026048	Jahzeelite	Jahzeelite	Jahzeelites	Jahzeel	Jahzeelites	Jahzeelites	Jahzeelites	100	100	100	100	100	100	100
יַחְצִיאֵל	H3185	yaḥṣîʾēl	Jahziel	son of Naphtali	PN	person	013007013	Jahziel	Jahziel	Jahziel	Jahziel	Jahzi-el	Jahziel	Jahziel	100	100	100	100	100	100	100
יַחַת-1	H3189	yaḥat-1	Jahath	son of Reaiah; tribe of Judah	PN	person	013004002 013004002	Jahath	Jahath	Jahath	Jahath	Jahath	Jahath	Jahath	100	100	100	100	100	100	100
יַחַת-2	H3189	yaḥat-2	Jahath	son of Libni; descendant of Gershom; tribe of Levi	PN	person	013006020 013006043	Jahath	Jahath	Jahath	Jahath	Jahath	Jahath	Jahath	100	50	100	100	100	100	100
יַחַת-3	H3189	yaḥat-3	Jahath	descendant of Gershom; tribe of Levi; time of king David	PN	person	013023010 013023011	Jahath	Jahath	Jahath	Jahath	Jahath	Jahath	Jahath	100	100	100	100	100	100	100
יַחַת-4	H3189	yaḥat-4	Jahath	descendant of Izhar; tribe of Levi	PN	person	013024022	Jahath	Jahath	Jahath	Jahath	Jahath	Jahath	Jahath	100	100	100	100	100	100	100
יַחַת-5	H3189	yaḥat-5	Jahath	descendant of Merari; tribe of Levi; time of king Josiah	PN	person	014034012	Jahath	Jahath	Jahath	Jahath	Jahath	Jahath	Jahath	100	100	100	100	100	100	100
יָטְבָּה	H3192	yoṭbāh	Jotbah	town; territory of Naphtali	PN	settlement	012021019	Jotbah	Jotbah	Jotbah	Jotbah	Jotbah	Jotbah	Jotbah	100	100	100	100	100	100	100
יָטְבָתָה	H3193	yoṭbātāh	Jotbathah	location along route of exodus	PN	locale	004033033 004033034 005010007	Jotbathah	Jotbathah	Jotbathah	Jotbathah	Jotbathah	Jotbathah	Jotbathah	100	100	100	100	100	100	67
יֻטָּה	H3194	yuṭṭāh	Juttah	town; for Levites; territory of Judah	PN	settlement	006015055 006021016	Juttah	Juttah	Juttah	Juttah	Juttah	Juttah	Juttah	100	100	100	100	100	100	100
יְטוּר	H3195	yǝṭûr	Jetur	son of Ishmael	PN	person	001025015 013001031 013005019	Jetur	Jetur	Jetur	Jetur	Jetur	Jetur	Jetur	100	100	100	100	100	100	100
יָכִין-1	H3199	yākîn-1	Jachin	son of Simeon	PN	person	001046010 002006015 004026012	Jamin	Jamin	Jachin	Jachin	Jachin	Jamin	Jachin	100	100	100	100	100	100	100
יָכִין-2	H3199	yākîn-2	Jachin	priest; after exile	PN	person	013009010 016011010	Jakin	Jakin	Jachin	Jachin	Jachin	Jakin	Jachin	100	100	100	100	100	100	100
יָכִין-3	H3199	yākîn-3	Jachin	priest; time of king David	PN	person	013024017	Jakin	Jakin	Jachin	Jachin	Jachin	Jakin	Jachin	100	100	100	100	100	100	100
יָכִין-4	H3199	yākîn-4	Jachin	pillar in temple of Solomon	PN	constructions	011007021 014003017	Jakin	Jakin	Jachin	Jachin	Jachin	Jachin	Jachin	100	100	100	100	100	50	100
יָכִינִי	H3200	yākîniy	Jachinite	descendant of Jachin; tribe of Simeon	PN	group	004026012	Jaminite	Jaminite	Jachinites	Jachin	Jachinites	Jaminites	Jachinites	100	100	100	100	100	100	100
יְכָלְיָה	H3203	yǝkolyāh	Jecoliah	mother of Uzziah (Azariah), king of Judah	PN	person	014026003	Jekoliah	Jecoliah	Jecoliah	Jecoliah	Jecoliah	Jecholiah	Jecoliah	100	100	100	100	100	100	100
יְכָלְיָהוּ	H3203	yǝkolyāhû	Jecoliah	mother of Uzziah (Azariah), king of Judah	PN	person	012015002	Jekoliah	Jecoliah	Jecoliah	Jecoliah	Jecoliah	Jecholiah	Jecholiah	100	100	100	100	100	100	100
יְכָנְיָה	H3204	yǝkonyāh	Jeconiah	son of Jehoiakim; king of Judah (597)	PN	person	017002006 013003016 013003017 024027020 024028004 024029002	Jehoiachin	Jehoiachin	Jeconiah	Jehoiachin	Jeconiah	Jeconiah	Jeconiah	100	100	100	100	100	67	100
יְכָנְיָהוּ	H3204	yǝkonyāhû	Jeconiah	son of Jehoiakim; king of Judah (597)	PN	person	024024001	Jehoiachin	Jehoiachin	Jeconiah	Jehoiachin	Jeconiah	Jeconiah	Jeconiah	100	100	100	100	100	100	100
יָלוֹן	H3210	yālôn	Jalon	son of Ezrah; tribe of Judah	PN	person	013004017	Jalon	Jalon	Jalon	Jalon	Jalon	Jalon	Jalon	100	100	100	100	100	100	100
יֶלֶק	H3218	yeleq	locust	six-legged winged insect whose third pair of legs is elongated and adapted to hopping; Acrididae family; moves in swarms that migrate to new areas, which they colonize; at other times lives solitary or in small groups; eaten cooked by toasting, grilling, frying, or broiling, though in some places they are also eaten raw; clean animal, may be eaten; because of their large numbers and swarming characteristics, locusts were a symbol of a vast attacking army against which there was no defense and also a symbol of divine punishment	FA	insects, spiders, and worms	019105034 024051014 024051027 029001004 029001004 029002025 034003015 034003015 034003016	locusts	locusts	locust	locusts	locust	locusts	locust	71	71	57	100	57	43	29
יַלְקוּט	H3219	yalqûṭ	bag, pouch	small bag hung from the shoulder by a strap or attached to the belt or sash around the waist; made of leather or cloth; used by shepherds for carrying food and small personal items	RE	containers; animal husbandry	009017040	bag	bag	pouch	bag	bag	bag	bag	100	100	100	100	100	100	100
יָם הַמֶּלַח	H3220	yām hammelaḥ	Dead Sea	literally, the salt sea; inland lake in the rift valley in Israel, with no outlet and high salt content	PN	nature	001014003 004034003 004034012 005003017 006003016 006012003 006015002 006015005 006018019	Dead Sea	Salt Sea	Salt Sea	Dead Sea	Salt Sea	Salt Sea	salt sea	100	67	67	100	67	67	67
יַם־סוּף	H3220	yam-sûp	Sea of Reeds, Red Sea	extreme northern part of Gulf of Suez	PN	nature	002010019 002013018 002015004 002015022 002023031 004014025 004021004 004033010 004033011 005001040 005002001 005011004 006002010 006004023 006024006 007011016 011009026 016009009 019106007 019106009 019106022 019136013 019136015 024049021	Red Sea	Red Sea	Red Sea	Red Sea	Red Sea	Red Sea	Red sea	100	100	100	50	100	96	100
יְמוּאֵל	H3223	yǝmûʾēl	Jemuel	son of Simeon	PN	person	001046010 002006015	Jemuel	Jemuel	Jemuel	Jemuel	Jemuel	Jemuel	Jemuel	100	100	100	100	100	100	100
יְמִימָה	H3224	yǝmîmāh	Jemimah	daughter of Job	PN	person	018042014	Jemimah	Jemimah	Jemimah	Jemimah	Jemimah	Jemimah	Jemima	100	100	100	100	100	100	100
יָמִין-1	H3226	yāmîn-1	Jamin	son of Simeon	PN	person	001046010 002006015 004026012 013004024	Jamin	Jamin	Jamin	Jamin	Jamin	Jamin	Jamin	100	100	100	100	100	100	100
יָמִין-2	H3226	yāmîn-2	Jamin	descendant of Jerahmeel; tribe of Judah	PN	person	013002027	Jamin	Jamin	Jamin	Jamin	Jamin	Jamin	Jamin	100	100	100	100	100	100	100
יָמִין-3	H3226	yāmîn-3	Jamin	priest; tribe of Levi	PN	person	016008007	Jamin	Jamin	Jamin	Jamin	Jamin	Jamin	Jamin	100	100	100	100	100	100	100
יָמִינִי	H3228	yāmîniy	Jaminite	descendant of Jamin, son of Simeon	PN	group	004026012	Jaminite	Jaminite	Jaminites	Jamin	Jaminites	Jaminites	Jaminites	100	100	100	100	100	100	100
יְמִינִי	H3228	yǝmîniy	Benjaminite	member of tribe of Benjamin	PN	group	009009001 009009004 010020001 017002005	Benjamite	Benjamite	Benjaminite	Benjamin	Benjaminite	Benjaminite	Benjamite	50	50	75	50	75	75	75
יִמְלָה	H3229	yimlāh	Imlah	father of Micaiah, prophet, time of king Ahab	PN	person	011022008 011022009 014018007 014018008	Imlah	Imlah	Imlah	Imlah	Imlah	Imlah	Imlah	100	100	100	50	100	100	50
יַמְלֵךְ	H3230	yamlēk	Jamlek	man; tribe of Simeon	PN	person	013004034	Jamlech	Jamlech	Jamlech	Jamlech	Jamlech	Jamlech	Jamlech	100	100	100	100	100	100	100
יִמְנָה-1	H3232	yimnāh-1	Imnah	son of Asher	PN	person	001046017 004026044 013007030	Imnah	Imnah	Imnah	Imnah	Imnah	Imnah	Imnah	100	100	100	100	100	100	33
יִמְנָה-2	H3232	yimnāh-2	Imnah	father of Korah; tribe of Levi	PN	person	014031014	Imnah	Imnah	Imnah	Imnah	Imnah	Imnah	Imnah	100	100	100	100	100	100	100
יִמְנָה-3	H3232	yimnāh-3	Imnite	descendant of Imnah, son of Asher	PN	group	004026044	Imnite	Imnite	Imnites	Imnah	Imnites	Imnahites	Jimnites	100	100	100	100	100	100	100
יִמְנָע	H3234	yimnāʿ	Imna	son of Helem; tribe of Asher	PN	person	013007035	Imna	Imna	Imna	Imna	Imna	Imna	Imna	100	100	100	100	100	100	100
יִמְרָה	H3236	yimrāh	Imrah	son of Zophah; tribe of Asher	PN	person	013007036	Imrah	Imrah	Imrah	Imrah	Imrah	Imrah	Imrah	100	100	100	100	100	100	100
יָנוֹחַ-1	H3239b	yānôaḥ-1	Janoah	town; at boundary between territories of Ephraim and Manasseh	PN	settlement	006016006 006016007	Janoah	Janoah	Janoah	Janoah	Jan-oah	Janoah	Janohah	100	100	100	100	100	100	100
יָנוֹחַ-2	H3239a	yānôaḥ-2	Janoah	town; territory of Asher	PN	settlement	012015029	Janoah	Janoah	Janoah	Janoah	Jan-oah	Janoah	Janoah	100	100	100	100	100	100	100
יָנוּם	H3241	yānûm	Janum	town; territory of Judah	PN	settlement	006015053	Janim	Janim	Janim	Janim	Janim	Janim	Janum	100	100	100	100	100	100	100
יַנְשׁוֹף	H3244	yanšôp	tawny owl	exact meaning unknown; possibly: type of owl with a mottled gray-brown color; its eyes are outlined with pale circles, so that it looks as though it is wearing spectacles; it prefers wooded areas or orchards and roosts close to the trunk of a tree; Strix aluco; unclean animal, not to be eaten	FA	birds	003011017 005014016 023034011	great owl	great owl	barn owl	any of	the owl	the white owl	great owl	67	67	33	33	67	33	67
יִסְכָּה	H3252	yiskāh	Iscah	daughter of Haran; sister of Milcah	PN	person	001011029	Iskah	Iscah	Iscah	Iscah	Iscah	Iscah	Iscah	100	100	100	100	100	100	100
יִסְמַכְיָהוּ	H3253	yismakyāhû	Ismachiah	Levite; time of king Hezekiah	PN	person	014031013	Ismakiah	Ismakiah	Ismachiah	Ismachiah	Ismachiah	Ismakiah	Ismachiah	100	100	100	100	100	100	100
יַעְבֵּץ-1	H3258	yaʿbēṣ-1	Jabez	town; territory of Judah	PN	settlement	013002055	Jabez	Jabez	Jabez	Jabez	Jabez	Jabez	Jabez	100	100	100	100	100	100	100
יַעְבֵּץ-2	H3258	yaʿbēṣ-2	Jabez	man; tribe of Judah	PN	person	013004009 013004010	Jabez	Jabez	Jabez	Jabez	Jabez	Jabez	Jabez	100	100	100	100	100	100	100
יֶעְדּוֹ	H3260	yeʿdô	Iddo	seer	PN	person	014009029	Iddo	Iddo	Iddo	Iddo	Iddo	Iddo	Iddo	100	100	100	100	100	100	100
יְעוּאֵל	H3262	yǝʿûʾēl	Jeuel	descendant of Zerah; tribe of Judah; after exile	PN	person	013009006	Jeuel	Jeuel	Jeuel	Jeuel	Jeuel	Jeuel	Jeuel	100	100	100	100	100	100	100
יְעוּץ	H3263	yǝʿûṣ	Jeuz	son of Shaharaim; tribe of Benjamin	PN	person	013008010	Jeuz	Jeuz	Jeuz	Jeuz	Jeuz	Jeuz	Jeuz	100	100	100	100	100	100	100
יְעוּשׁ-1	H3266	yǝʿûš-1	Jeush	son of Esau	PN	person	001036005 001036014 001036018 013001035	Jeush	Jeush	Jeush	Jeush	Jeush	Jeush	Jeush	100	100	100	100	100	100	100
יְעוּשׁ-2	H3266	yǝʿûš-2	Jeush	son of Bilhan; tribe of Benjamin	PN	person	013007010	Jeush	Jeush	Jeush	Jeush	Jeush	Jeush	Jeush	100	100	100	100	100	100	100
יְעוּשׁ-3	H3266	yǝʿûš-3	Jeush	son of Eshek; tribe of Benjamin	PN	person	013008039	Jeush	Jeush	Jeush	Jeush	Jeush	Jeush	Jehush	100	100	100	100	100	100	100
יְעוּשׁ-4	H3266	yǝʿûš-4	Jeush	son of Shimei; descendant of Gershon; tribe of Levi	PN	person	013023010 013023011	Jeush	Jeush	Jeush	Jeush	Jeush	Jeush	Jeush	100	100	100	100	100	100	100
יְעוּשׁ-5	H3266	yǝʿûš-5	Jeush	son of Rehoboam	PN	person	014011019	Jeush	Jeush	Jeush	Jeush	Jeush	Jeush	Jeush	100	100	100	100	100	100	100
יַעֲזִיאֵל	H3268	yaʿăzîʾēl	Jaaziel	Levite; time of king David	PN	person	013015018	Jaaziel	Jaaziel	Jaaziel	Jaaziel	Ja-aziel	Jaaziel	Jaaziel	100	100	100	100	100	100	100
יַעֲזִיָּהוּ	H3269	yaʿăziyyāhû	Jaaziah	descendant of Merari; tribe of Levi	PN	person	013024026 013024027	Jaaziah	Jaaziah	Jaaziah	Jaaziah	Ja-aziah	Jaaziah	Jaaziah	100	100	100	100	100	100	100
יַעְזֵר	H3270	yaʿzēr	Jazer	town; for Levites; territory of Gad	PN	settlement	004021032 004032001 004032003 004032035 006013025 006021039 010024005 013006081 013026031 023016008 023016009 024048032 024048032	Jazer	Jazer	Jazer	Jazer	Jazer	Jazer	Jazer	100	100	100	100	100	92	83
יְעִיאֵל-1	H3273	yǝʿîʾēl-1	Jeiel	man; tribe of Reuben	PN	person	013005007	Jeiel	Jeiel	Jeiel	Jeiel	Je-iel	Jeiel	Jeiel	100	100	100	100	100	100	100
יְעִיאֵל-2	H3273	yǝʿîʾēl-2	Jeiel	founder of Gibeon	PN	person	013009035	Jeiel	Jeiel	Jeiel	Jeiel	Je-iel	Jeiel	Jehiel	100	100	100	100	100	100	100
יְעִיאֵל-3	H3273	yǝʿîʾēl-3	Jeiel	son of Hotham; from Aroer; warrior; time of king David	PN	person	013011044	Jeiel	Jeiel	Jeiel	Jeiel	Je-iel	Jeiel	Jehiel	100	100	100	100	100	100	100
יְעִיאֵל-4	H3273	yǝʿîʾēl-4	Jeiel	Levite; time of king David	PN	person	013015018 013015021 013016005	Jeiel	Jeiel	Jeiel	Jeiel	Je-iel	Jeiel	Jeiel	100	100	100	100	67	100	100
יְעִיאֵל-5	H3273	yǝʿîʾēl-5	Jeiel	Levite; time of king David	PN	person	013016005	Jeiel	Jeiel	Jeiel	Jeiel	Je-iel	Jeiel	Jeiel	100	100	100	100	100	100	100
יְעִיאֵל-6	H3273	yǝʿîʾēl-6	Jeiel	son of Mattaniah; tribe of Levi	PN	person	014020014	Jeiel	Jeiel	Jeiel	Jeiel	Je-iel	Jeiel	Jeiel	100	100	100	100	100	100	100
יְעִיאֵל-7	H3273	yǝʿîʾēl-7	Jeiel	secretary; time of Uzziah	PN	person	014026011	Jeiel	Jeiel	Jeiel	Jeiel	Je-iel	Jeiel	Jeiel	100	100	100	100	100	100	100
יְעִיאֵל-8	H3273	yǝʿîʾēl-8	Jeiel	descendant of Elizaphan; tribe of Levi; time of Hezekiah	PN	person	014029013	Jeiel	Jeiel	Jeuel	Jeuel	Jeuel	Jeiel	Jeiel	100	100	100	100	100	100	100
יְעִיאֵל-9	H3273	yǝʿîʾēl-9	Jeiel	chief of tribe of Levi; time of Josiah	PN	person	014035009	Jeiel	Jeiel	Jeiel	Jeiel	Je-iel	Jeiel	Jeiel	100	100	100	100	100	100	100
יְעִיאֵל-10	H3273	yǝʿîʾēl-10	Jeiel	descendant of Adonikam; time of Ezra	PN	person	015008013	Jeuel	Jeuel	Jeuel	Jehiel	Jeuel	Jeuel	Jeiel	100	100	100	100	100	100	100
יְעִיאֵל-11	H3273	yǝʿîʾēl-11	Jeiel	descendant of Nebo; time of Ezra	PN	person	015010043	Jeiel	Jeiel	Jeiel	Jeiel	Je-iel	Jeiel	Jeiel	100	100	100	100	100	100	100
יָעִיר	H3265	yāʿîr	Jair	father of Elhanan, warrior, time of king David	PN	person	013020005	Jair	Jair	Jair	Jair	Jair	Jair	Jair	100	100	100	100	100	100	100
יַעְכָּן	H3275	yaʿkān	Jakan	man; tribe of Gad	PN	person	013005013	Jakan	Jacan	Jacan	Jacan	Jacan	Jacan	Jachan	100	100	100	100	100	100	100
יָעֵל	H3278	yāʿēl	Jael	wife of Heber, Kenite; time of the Judges	PN	person	007004017 007004018 007004021 007004022 007005006 007005024	Jael	Jael	Jael	Jael	Jael	Jael	Jael	100	100	100	100	100	100	100
יָעֵל, יַעֲלָה	H3277	yāʿēl, yaʿălāh	ibex, wild goat	fairly large wild goat; adult reaches about 90 cm at the shoulder; most of the year its color is grayish but turns browner in winter; male has thick long horns over 130 cm in length which curve backwards in a semicircle; female's horns are about 40 cm long; last few centimeters of the horns are smooth, the rest are ringed with ridges; lives in small herds in the mountains and prefers cliffs and crags, where it lives off the bushes that grow on the ledges; clean animal, may be eaten	FA	mammals; wild animals	009024002 018039001 019104018 020005019	Wild Goats	Wild Goats	wild goats	Wild Goat	wild goats	wild goats	wild goats	25	25	25	25	25	25	75
יַעְלָא	H3279	yaʿlāʾ	Jaala	family head; servants of Solomon; after exile	PN	person	016007058	Jaala	Jaala	Jaala	Jaalah	Jaala	Jaala	Jaala	100	100	100	100	100	100	100
יַעְלָה	H3279	yaʿlāh	Jaalah	family head; servants of Solomon; after exile	PN	person	015002056	Jaala	Jaala	Jaalah	Jaalah	Jaalah	Jaala	Jaalah	100	100	100	100	100	100	100
יַעְלָם	H3281	yaʿlām	Jalam	son of Esau	PN	person	001036005 001036014 001036018 013001035	Jalam	Jalam	Jalam	Jalam	Jalam	Jalam	Jaalam	100	100	100	100	100	100	100
יָעֵן	H3283	yāʿēn	ostrich	large bird with underdeveloped wings so that it cannot fly; long neck and legs; about 2 m tall; male's body is black with long white feathers on its wings; females are a uniform grayish brown; feeds mainly on seeds, fallen fruit, and shoots, occasionally lizards or frogs; lives in small flocks of about twenty; Struthio camelus; associated with heartless cruelty because most females do not hatch their own eggs and do not take care of their own young	FA	birds	025004003	ostriches	ostriches	ostriches	ostriches	ostriches	ostriches	ostriches	100	100	100	100	100	100	100
יַעְנַי	H3285	yaʿnay	Janai	man; tribe of Gad	PN	person	013005012	Janai	Janai	Janai	Janai	Janai	Janai	Jaanai	100	100	100	100	100	100	100
יַעֲקֹב	H3290	yaʿăqob	Jacob	son of Isaac; people	PN	person	001025026 001025027 001025028 001025029 001025030 001025031 001025033 001025033 001025034 001027006 001027011 001027015 001027017 001027019 001027021 001027022 001027022 001027030 001027030 001027036 001027041 001027041 001027042 001027046 001028001 001028005 001028005 001028006 001028007 001028010 001028016 001028018 001028020 001029001 001029004 001029010 001029010 001029011 001029012 001029013 001029015 001029018 001029020 001029021 001029028 001030001 001030001 001030002 001030004 001030005 001030007 001030009 001030010 001030012 001030016 001030017 001030019 001030025 001030031 001030036 001030036 001030037 001030040 001030041 001030042 001031001 001031002 001031003 001031004 001031011 001031017 001031020 001031022 001031024 001031025 001031025 001031026 001031029 001031031 001031032 001031033 001031036 001031036 001031043 001031045 001031046 001031047 001031051 001031053 001031054 001032001 001032002 001032003 001032004 001032006 001032007 001032009 001032018 001032020 001032024 001032025 001032027 001032028 001032029 001032030 001032032 001033001 001033010 001033017 001033018 001034001 001034003 001034005 001034005 001034006 001034007 001034007 001034013 001034019 001034025 001034027 001034030 001035001 001035002 001035004 001035004 001035005 001035006 001035009 001035010 001035010 001035014 001035015 001035020 001035022 001035023 001035026 001035027 001035029 001036006 001037001 001037002 001037034 001042001 001042001 001042004 001042029 001042036 001045025 001045027 001046002 001046002 001046005 001046005 001046006 001046008 001046008 001046015 001046018 001046019 001046022 001046025 001046026 001046026 001046027 001047007 001047007 001047008 001047009 001047010 001047028 001047028 001048002 001048003 001049001 001049002 001049007 001049024 001049033 001050024 002001001 002001005 002002024 002003006 002003015 002003016 002004005 002006003 002006008 002019003 002033001 003026042 004023007 004023010 004023021 004023023 004023023 004024005 004024017 004024019 004032011 005001008 005006010 005009005 005009027 005029013 005030020 005032009 005033004 005033010 005033028 005034004 006024004 006024004 006024032 009012008 010023001 011018031 012013023 012017034 013016013 013016017 019014007 019020001 019022023 019024006 019044004 019046007 019046011 019047004 019053006 019059013 019075009 019076006 019077015 019078005 019078021 019078071 019079007 019081001 019081004 019084008 019085001 019087002 019094007 019099004 019105006 019105010 019105023 019114001 019114007 019132002 019132005 019135004 019146005 019147019 023002003 023002005 023002006 023008017 023009008 023010020 023010021 023014001 023014001 023017004 023027006 023027009 023029022 023029022 023029023 023040027 023041008 023041014 023041021 023042024 023043001 023043022 023043028 023044001 023044002 023044005 023044021 023044023 023045004 023045019 023046003 023048001 023048012 023048020 023049005 023049006 023049026 023058001 023058014 023059020 023060016 023065009 024002004 024005020 024010016 024010025 024030007 024030010 024030010 024030018 024031007 024031011 024033026 024033026 024046027 024046027 024046028 024051019 025001017 025002002 025002003 026020005 026028025 026037025 026039025 028010011 028012002 028012012 030003013 030006008 030007002 030007005 030008007 030009008 031001010 031001017 031001018 033001005 033001005 033002007 033002012 033003001 033003008 033003009 033004002 033005007 033005008 033007020 034002002 039001002 039001002 039002012 039003006	Jacob	Jacob	Jacob	Jacob	Jacob	Jacob	Jacob	91	91	97	63	97	93	97
יַעֲקֹבָה	H3291	yaʿăqobāh	Jaakobah	man; tribe of Simeon	PN	person	013004036	Jaakobah	Jaakobah	Jaakobah	Jaakobah	Ja-akobah	Jaakobah	Jaakobah	100	100	100	100	100	100	100
יַעֲקָן	H3292	yaʿăqān	Jaakan	descendant of Seir	PN	person	013001042	Zaavan	Zaavan	Zaavan	Jaakan	Jaakan	Jaakan	Jakan	100	100	100	100	100	100	100
יַעְרָה	H3294	yaʿrāh	Jarah	son of Ahaz; tribe of Benjamin	PN	person	013009042	Jadah	Jadah	Jarah	Jarah	Jarah	Jarah	Jarah	100	100	100	100	100	100	100
יַעְרֵי אֹרְגִים	H3296	yaʿrēy ʾorgîm	Jaare-Oregim	father of Elhanan, warrior, time of king David	PN	person	010021019		Jaare-Oregim	Jaare-oregim	Jair from	Jaare-oregim		Jaare-oregim	0	100	100	100	100	0	100
יַעֲרֶשְׁיָה	H3298	yaʿărešyāh	Jaareshiah	son of Jeroham; family head; tribe of Benjamin	PN	person	013008027	Jaareshiah	Jaareshiah	Jaareshiah	Jaareshiah	Ja-areshiah	Jaareshiah	Jaresiah	100	100	100	100	100	100	100
יַעֲשָׂי	H3299	yaʿăśāy	Jaasu	man; married a foreign wife; after exile	PN	person	015010037	Jaasu	Jaasu	Jaasu	Jaasu	Jaasu	Jaasu	Jaasau	100	100	100	100	100	100	100
יַעֲשִׂיאֵל-1	H3300	yaʿăśîʾēl-1	Jaasiel	warrior; time of king David	PN	person	013011047	Jaasiel	Jaasiel	Jaasiel	Jaasiel	Ja-asiel	Jaasiel	Jasiel	100	100	100	100	100	100	100
